ROUTEID,BLOCKKEY,SPEEDLIMITS_OB,DCFUNCTIONALCLASS,ADDRESS,latitude,longitude,AADT
11000502,789152ffe3db67fe328f830aa0b33572,20,17,"4862 5TH STREET NW WASHINGTON, DC",38.94958565,-77.01966634,3065
11047842,290ce13e76609c5092a734cdca0f4551,25,19,"3350 IDAHO AVENUE NW WASHINGTON, DC",38.93434922,-77.07471261,0
11002602,5e319ecf00bfdfc805fdc9b4d6249736,20,19,"1050 26TH STREET NW WASHINGTON, DC",38.90389575,-77.05485331,0
11024312,56347b04b857542b4a31b38970dd9179,20,19,"1810 CLYDESDALE PLACE NW WASHINGTON, DC",38.92574294,-77.04323443,0
11040042,dc025ed46b2e5b3a51ac4217a72e94a7,30,14,"7950 GEORGIA AVENUE NW WASHINGTON, DC",38.9291222,-77.0232413,17818
11000102,876332cacb63256e28515fe439a25aee,20,19,"6650 1ST STREET NW WASHINGTON, DC",38.97069796,-77.01176902,0
11003432,198d9f1a33315d02565e03b8d42d3411,20,19,"2750 34TH PLACE NW WASHINGTON, DC",38.92539974,-77.06761943,0
11000202,df05df65cf284ccf17c8496ca1d9dccb,20,19,"6050 2ND STREET NW WASHINGTON, DC",38.96324337,-77.01375,0
11055962,26f6aa4025232e7e2fe56a6da1f79a04,25,17,"4925 LINNEAN AVENUE NW WASHINGTON, DC",38.95371838,-77.0630001,949
11043872,2e59e36015ed73245183deeb9634a326,20,19,"4650 HAWTHORNE LANE NW WASHINGTON, DC",38.92884553,-77.09172447,0
11001802,6759a735c88592b07ac50358b83bab97,20,19,"4150 18TH STREET NW WASHINGTON, DC",38.94135675,-77.04137703,0
11053492,21a939cd1dbdfe85b4afba4ecf089f2a,,16,"1350 L STREET NW WASHINGTON, DC",38.90365595,-77.03080598,0
11043352,b1b7afaf504b38bd526f4eae2d260b5c,20,19,"6650 HARLAN PLACE NW WASHINGTON, DC",38.97080872,-77.01060848,0
11003232,a3782548d3f154bd6a266ee3efd33500,20,19,"6250 32ND PLACE NW WASHINGTON, DC",38.97206746,-77.06521251,0
11011572,3e550fa2ee3aca05659de0a8d57cd6d8,25,16,"1229 ASPEN STREET NW WASHINGTON, DC",38.972345,-77.02869745,3148
11064222,fe95f8c22c2b33e5fb876bbb9002300e,30,16,"4250 NEW HAMPSHIRE AVENUE NW WASHINGTON, DC",38.94227876,-77.01967307,12283
11067212,6a8c245ec1e171bc11756583f15c4f52,20,19,"450 ONEIDA PLACE NW WASHINGTON, DC",38.96192482,-77.01897625,0
11039062,8e99d1883b5461810d1f51fdb6469966,25,19,"710 GALLATIN STREET NW WASHINGTON, DC",38.95191838,-77.0225975,0
11009422,c11aec83f168b116818799eb9f8187d8,30,16,"7607 ALASKA AVENUE NW WASHINGTON, DC",38.98199068,-77.0286547,3565
11010722,4befb9a7cecc457b6ee4fc25b673af23,20,19,"3250 ARCADIA PLACE NW WASHINGTON, DC",38.9766717,-77.06229218,0
11051352,d91bef72a22f658db3658830da244f18,25,16,"4650 KANSAS AVENUE NW WASHINGTON, DC",38.9465861,-77.02255494,4960
11002302,b85d7f8cdd146e62494c4566df0a5474,20,14,"350 23RD STREET NW WASHINGTON, DC",38.89545848,-77.05022852,12800
11003702,663067a9c5c561a8bd00af34ee250449,20,17,"2086 37TH STREET NW WASHINGTON, DC",38.9184375,-77.073041,0
11017482,72073777adca47c07bc5198d9291214e,20,19,"4862 BRANDYWINE STREET NW WASHINGTON, DC",38.94961,-77.09616257,0
11066692,51c4d4e213534139abba9aacc70603fd,20,19,"1512 OGDEN STREET NW WASHINGTON, DC",38.93550176,-77.03496697,0
11001302,08d4576eea1ce3642ba8a055fa830449,20,16,"860 13TH STREET NW WASHINGTON, DC",38.90086953,-77.02972694,8919
11003402,8a137df9e6c9951be9fabefe29d967cc,25,16,"3510 34TH STREET NW WASHINGTON, DC",38.93671851,-77.06649389,11223
11063182,794c68bb4e559b99a0ad9b1ecc6ddfa7,20,19,"3650 N STREET NW WASHINGTON, DC",38.90661247,-77.07093467,0
11050112,67ccd183b994d44630a294d009d91796,20,19,"3650 JOCELYN STREET NW WASHINGTON, DC",38.95960214,-77.06905453,0
11004802,278264aaf5951798eb5adb93f5aa8741,20,19,"4315 48TH STREET NW WASHINGTON, DC",38.94573745,-77.09444444,0
11001902,93c914744fd3221ff18ad31475f41f1c,,19,"250 19TH STREET NW WASHINGTON, DC",38.8928189,-77.04358274,0
11047772,01ae955f4a77226d64b28acc0c883390,20,14,"1510 I STREET NW WASHINGTON, DC",38.90125478,-77.03414834,0
11039522,0b4433beeced42a86f29dab8752fa819,20,19,"3860 GARFIELD STREET NW WASHINGTON, DC",38.9274476,-77.07648181,0
11004402,c955551851dccd56b93e41267560ffec,20,19,"1660 44TH STREET NW WASHINGTON, DC",38.91226766,-77.08152888,0
11004402,0efdc516415589b08abc1f5d5d4217a8,20,19,"4225 44TH STREET NW WASHINGTON, DC",38.94342391,-77.086099,0
11067142,3700cad5a71a9812e0da96d742fb263d,20,19,"3450 OLIVER STREET NW WASHINGTON, DC",38.966635,-77.06991293,0
11001802,e68f24ce8d1ebf8e49c5a5da9f2a161e,25,16,"1713 18TH STREET NW WASHINGTON, DC",38.913107,-77.04138914,3921
11050892,2d98e11bd7f2672ad6c8420fc9b1dd72,20,14,"1750 K STREET NW WASHINGTON, DC",38.90220305,-77.04077605,0
11050892,6f7f8cf01ce9e334d0395a072c537e9c,20,16,"71 K STREET NW WASHINGTON, DC",38.903675,-77.0111404,0
11048752,6419987b55a470da45145fa65ed8ebd6,,16,"1200 IRVING STREET NW WASHINGTON, DC",38.92836775,-77.0279096,5684
11002102,0034a11c0ce420bdc946f562800e60c0,,17,"750 21ST STREET NW WASHINGTON, DC",38.89896029,-77.04675815,5644
11064282,217d9f819e4d3f08506695354d658b9f,20,17,"310 NEW JERSEY AVENUE NW WASHINGTON, DC",38.89410574,-77.01082478,0
11042442,d261186e5f1ff6d2143a89ceea252e6a,,14,"1450 H STREET NW WASHINGTON, DC",38.90011941,-77.03280999,0
11011762,c5b58146ea00e299704eb2ca31035d12,20,19,"2850 AUDUBON TERRACE NW WASHINGTON, DC",38.94609444,-77.0577985,0
11002902,453e32ae6a50313a234474f1f8379dea,,19,"2950 29TH STREET NW WASHINGTON, DC",38.92930579,-77.05799115,0
11031982,727d9e2f0b40042dc7690f84b5ec1b24,20,17,"8116 EASTERN AVENUE NW WASHINGTON, DC",38.9884635,-77.03199554,4695
11004502,98de59f0b68485e38555f083f9aaf971,25,19,"4050 45TH STREET NW WASHINGTON, DC",38.94219756,-77.08793985,0
11065262,0015696c2e88eac041997d320bdb61e8,20,19,"3350 NORTHAMPTON STREET NW WASHINGTON, DC",38.965731,-77.06740996,0
11059602,de0139c53924d7ff09e4c6bbaeb29425,20,14,"90 MASSACHUSETTS AVENUE NW WASHINGTON, DC",38.89779858,-77.01010067,11872
11039522,a2d983ea2c608e655c4f6a68ac9caf1e,25,19,"3050 GARFIELD STREET NW WASHINGTON, DC",38.92741791,-77.06067398,0
11040042,eaf60fcf477382a3c535bb4eedd9a103,30,14,"5800 GEORGIA AVENUE NW WASHINGTON, DC",38.95969937,-77.02823839,15808
11001602,eb7f4b0204f1e91f204792bec69c6101,30,14,"6150 16TH STREET NW WASHINGTON, DC",38.965133,-77.03652,24429
11025152,c66cab2ee7aac8dbd7ff2d09e83b532c,30,14,"4100 CONNECTICUT AVENUE NW WASHINGTON, DC",38.9425562,-77.06268753,17277
11001402,2ca8a22477fc14442dff21f1172ac18f,20,19,"8050 14TH STREET NW WASHINGTON, DC",38.98783359,-77.03150467,0
11000302,addfe677813c29635ec794799fe54e31,20,17,"850 3RD STREET NW WASHINGTON, DC",38.90080584,-77.0152779,1858
11064022,32757561a35bbf807fb172cdc5c30e95,20,17,"5412 NEVADA AVENUE NW WASHINGTON, DC",38.96154945,-77.06978721,2963
11001602,9293e34312e93704e353bbc62c94b059,30,14,"6357 16TH STREET NW WASHINGTON, DC",38.9673152,-77.03629441,24429
11027492,348ec8bf238bdd26676e65ff7e4afcae,20,19,"4750 DAVENPORT STREET NW WASHINGTON, DC",38.95202583,-77.09348535,0
11025152,5eb748749428da57219afe2d395659e4,30,14,"4565 CONNECTICUT AVENUE NW WASHINGTON, DC",38.94931416,-77.06638046,23019
11003202,c8c1a813ed48179f96a77788fd8c88ca,20,19,"5750 32ND STREET NW WASHINGTON, DC",38.96626925,-77.06398751,0
11058782,2f05209fbc21d147e65ff65fab5f25c4,20,19,"4000 MANSION COURT NW WASHINGTON, DC",38.916008,-77.078152,0
11001502,6676b851be9514ab4d86654f536a9942,25,16,"3150 15TH STREET NW WASHINGTON, DC",38.92889019,-77.03643004,3278
11040052A,a74ef38792480e8680c721b543fd12b8,20,19,"3925 GEORGETOWN COURT NW WASHINGTON, DC",38.91330425,-77.07665636,0
11003402,5ec49ab858608e515b74f0cf99978dce,,17,"1690 34TH STREET NW WASHINGTON, DC",38.91332201,-77.0680097,0
11003202,578e6747d2c64209621db20a6fc287ab,20,19,"6675 32ND STREET NW WASHINGTON, DC",38.9767707,-77.05792924,0
11002102,e05e993f9d87f8c6bc7cc6e7144d49da,,17,"350 21ST STREET NW WASHINGTON, DC",38.8942737,-77.04657721,5644
11004602,d354b1736ede09b161366a6a484c40c3,25,19,"2262 46TH STREET NW WASHINGTON, DC",38.92089247,-77.09228676,0
11000502,43e5488f46df30a8fe3a9d23a7b98baa,20,17,"850 5TH STREET NW WASHINGTON, DC",38.90055045,-77.019031,4573
11000502,eac1c90c33ac1435c0059604729a36ac,20,17,"450 5TH STREET NW WASHINGTON, DC",38.89547652,-77.01903202,4573
11067402,5f144a7ce13753819ff9d3490e54e7ad,20,19,"2956 ONTARIO ROAD NW WASHINGTON, DC",38.92554671,-77.04364971,0
11001802,862fdc33131a6a82ef90d913106b99a2,20,19,"3128 18TH STREET NW WASHINGTON, DC",38.93014419,-77.04140693,0
11004402,13673496e435e4a9930d1fe1ae4a590d,20,19,"5350 44TH STREET NW WASHINGTON, DC",38.9596382,-77.08627993,0
11059602,ad655798410f4954f7824f8f0b1d271b,20,14,"350 MASSACHUSETTS AVENUE NW WASHINGTON, DC",38.90025,-77.015969,19208
11051352,f0d1fedc86e8747df84743fc2b6d491b,25,16,"6065 KANSAS AVENUE NW WASHINGTON, DC",38.96350428,-77.00997918,4719
11058762,e5e4cdebfe69514a2c8f04db604ee3f4,20,19,"450 MANOR PLACE NW WASHINGTON, DC",38.93331609,-77.01979949,0
11000802,4fea1ba65e156356934cbb4dc35cd897,,19,"7111 8TH STREET NW WASHINGTON, DC",38.9763618,-77.02423981,0
11053042,0c2adc9782c87a06636c6f68f9c9bdd3,20,19,"5250 KLINGLE STREET NW WASHINGTON, DC",38.93189763,-77.10588978,0
11002002,686fd66614e78947dba1d45f0e1994dc,25,19,"1450 20TH STREET NW WASHINGTON, DC",38.90911641,-77.04499,0
11057982,28ac2d4ad909dfd8ea9497b32e09aecd,20,19,"5075 MACOMB STREET NW WASHINGTON, DC",38.93358242,-77.1043138,0
11031332,404c7abf80e93efd59c478be0c3432db,20,16,"750 E STREET NW WASHINGTON, DC",38.8959334,-77.0224446,5106
11028292,7a19a12156159a99a19e5743def64971,20,19,"4480 DEERFIELD ROAD NW WASHINGTON, DC",38.91791812,-77.08806453,0
11011572,3cc677bb5924e02952887909cbae1955,20,17,"275 ASPEN STREET NW WASHINGTON, DC",38.97243095,-77.01595411,2596
11000702,8fffcced06ad42e9918919b33fa1eeb0,20,14,"1662 7TH STREET NW WASHINGTON, DC",38.91249735,-77.02202,9103
11045632,099e8712e33a927a26830454811734c7,,19,"2050 HILLYER PLACE NW WASHINGTON, DC",38.91178456,-77.0457661,0
11042442,147cd17f0c0f9ce7d2dd4c5dab16cb83,,14,"1608 H STREET NW WASHINGTON, DC",38.90011721,-77.03818282,0
11011572,e8f53ee39e7cdc81f8a1ac9d3506ff8f,25,17,"750 ASPEN STREET NW WASHINGTON, DC",38.97226702,-77.02405763,2596
11027492,4ef134bc5488b09ab30d75adb710a671,20,19,"4812 DAVENPORT STREET NW WASHINGTON, DC",38.95189075,-77.09504737,0
11044002,80b727118f6956947c2f85022c18bb59,20,19,"3150 HAWTHORNE STREET NW WASHINGTON, DC",38.92818881,-77.06243528,0
11001102,7f1692ec4ce1e02491d41cce3d7fee7b,20,16,"650 11TH STREET NW WASHINGTON, DC",38.89784043,-77.02713714,6890
11056552,94a1a6f8d32662bd7021412842d8a8a8,20,14,"16 LOGAN CIRCLE NW WASHINGTON, DC",38.910257,-77.029796,10274
11041342A,8b92eb2087b746895ef45e2587ac7465,20,19,"0 GRANT CIRCLE NW WASHINGTON, DC",38.9432186,-77.0199497,0
11020022,94939ebb0d7cde56f7a87930bd6896b2,20,17,"3550 CALVERT STREET NW WASHINGTON, DC",38.9232603,-77.0475442,0
11067792,af8d0630e64472c3617a40e8d7bb9f41,25,17,"6920 OREGON AVENUE NW WASHINGTON, DC",38.98093329,-77.05239344,4633
11039522,9accd56998b7dba3b213bab64a03f9a7,20,19,"5014 GARFIELD STREET NW WASHINGTON, DC",38.92821224,-77.09944184,0
11019632,018ff9ca35048816359fd612c10b3330,20,17,"450 BUTTERNUT STREET NW WASHINGTON, DC",38.97352768,-77.01897729,1873
11001702,b81d1f2818115f36f335cef74e409582,20,19,"5950 17TH STREET NW WASHINGTON, DC",38.96225124,-77.03842154,0
11000502,1d95e9f009eac0bf925ce55077a06e85,25,17,"6207 5TH STREET NW WASHINGTON, DC",38.9653302,-77.01964022,3065
11016382,c3e008ac8ed109cee9c4921f6f667c01,25,17,"7350 BLAIR ROAD NW WASHINGTON, DC",38.97878403,-77.02231925,8731
11009422,c0769d95daf96618855bd3cc327cf9cc,30,16,"7750 ALASKA AVENUE NW WASHINGTON, DC",38.98335825,-77.02748707,3565
11001302,8eb687b316a8f6e3522f9ecd7e245eb5,25,16,"5650 13TH STREET NW WASHINGTON, DC",38.95782192,-77.02979751,8253
11009882,d4e17e961cd7eab597b771965dfbb581,20,19,"650 ALLISON STREET NW WASHINGTON, DC",38.94512664,-77.02117408,0
11004702,3da652ec8b2379ec846ac79fd424151d,20,19,"3850 47TH STREET NW WASHINGTON, DC",38.93985364,-77.09271869,0
11063182,fca22f23a75f437642e9c6a962c50e40,20,19,"450 N STREET NW WASHINGTON, DC",38.90709225,-77.01784216,0
11001702,73c6d7b11422fe92582e60fd84c171b7,20,19,"2250 17TH STREET NW WASHINGTON, DC",38.961703,-77.038324,0
11037892,78175ea19ea8537d51ae67f9300511f1,20,14,"4396 FOXHALL ROAD NW WASHINGTON, DC",38.908633,-77.0823971,19613
11010072,a993c626df78a7581d377b3d6e91033b,20,19,"4750 ALTON PLACE NW WASHINGTON, DC",38.94701472,-77.09349038,0
11066692,b8fa8a563fce9b19bac40436ffc82e41,20,19,"1564 OGDEN STREET NW WASHINGTON, DC",38.93636419,-77.03586859,0
11021122,a2446f633fb8d1722353f298ee17469e,,19,"1050 CECIL PLACE NW WASHINGTON, DC",38.90363043,-77.06401869,0
11002302,dfd80fcfdb4effa6e00aa88b19c3527d,20,19,"1965 23RD STREET NW WASHINGTON, DC",38.91602037,-77.05051204,0
11067792,779446a83ea19598c4fc3a1a7c9d8e12,25,17,"5900 OREGON AVENUE NW WASHINGTON, DC",38.96839157,-77.05403279,4633
11002702,9e20ef6093dd39b5b847658684ff800c,,19,"950 27TH STREET NW WASHINGTON, DC",38.9338571,-77.0552993,0
11052602,78b625d34c02d31c81775385f7e21a35,20,19,"8150 KING STREET NW WASHINGTON, DC",,,0
11067402,7a64637a233f623c1c524d6f6944dca8,20,19,"2211 ONTARIO ROAD NW WASHINGTON, DC",38.91963255,-77.03928057,0
11066752,ea2645933c1c3e7ff38683b87b61f46b,20,19,"311 OGLETHORPE STREET NW WASHINGTON, DC",38.961398,-77.016631,0
11025152,04a0058e795e2587f8e30e17937efbe1,30,14,"4050 CONNECTICUT AVENUE NW WASHINGTON, DC",38.9415285,-77.06186,17277
11000402,cd00963b0f63e5c4d8dde78c0c93a0da,20,19,"4650 4TH STREET NW WASHINGTON, DC",38.94693604,-77.01745697,0
11000702,c380e0762054fa5c2709618af62179c5,20,14,"1052 7TH STREET NW WASHINGTON, DC",38.90358406,-77.0220186,9064
11066752,0762a28725cc9e9a50e6033dfeeea891,20,19,"1500 OGLETHORPE STREET NW WASHINGTON, DC",38.96119781,-77.03495249,0
11057982,f450cd11b30671e615ce8eb7851f5ca3,20,19,"5043 MACOMB STREET NW WASHINGTON, DC",38.93390808,-77.10359938,0
11001202,332915d0dcd526bdc73e2ccb474b2286,25,17,"1505 12TH STREET NW WASHINGTON, DC",38.9099043,-77.02786353,3248
11025352,9ea5920c7e26d9842d9aea1d0ef14cc5,20,14,"950 CONSTITUTION AVENUE NW WASHINGTON, DC",38.891999,-77.02499047,19395
11009752,68bca42c2f8b127ce9cca0dcf42952da,,19,"2063 ALLEN PLACE NW WASHINGTON, DC",38.92151745,-77.04763232,0
11001302,692d7ce1433f9a1fcfa149b61c6a621f,20,16,"1250 13TH STREET NW WASHINGTON, DC",38.90672241,-77.02972534,8919
11003502,61d6d863f9fcb10f3962523292d9590d,20,19,"3650 35TH STREET NW WASHINGTON, DC",38.93774835,-77.068739,0
11060642,d2a64a00c202c0f9dafda31a47e9ccf2,25,16,"4350 MILITARY ROAD NW WASHINGTON, DC",38.9611057,-77.08479009,7950
11003302,c73052cb98a6e0923a1f3ed3ada65c40,20,19,"5450 33RD STREET NW WASHINGTON, DC",38.9626977,-77.06664894,0
11016702,8bc51525331273bf709c23ecb7874fcd,,19,"605 BOHRER STREET NW WASHINGTON, DC",38.9164467,-77.0209296,0
11026522,f63aaaedc1dd04b762c32990c21ca673,20,19,"950 CRITTENDEN STREET NW WASHINGTON, DC",38.9471258,-77.02606014,0
11009882,5076225cfcb95b94c3b0a5f4b7686e2f,20,19,"450 ALLISON STREET NW WASHINGTON, DC",38.94520784,-77.01849851,0
11025352,fc7ff8e2bfde5ea6b23beb5583c7daf0,20,14,"1450 CONSTITUTION AVENUE NW WASHINGTON, DC",38.89199933,-77.03277897,23646
11001302,7092a7e044c748df76a127509c3b4d6e,25,16,"4806 13TH STREET NW WASHINGTON, DC",38.94881545,-77.029804,7963
11068382,e06568beef4a1eca90bdb0740be5826f,15,19,"3550 P STREET NW WASHINGTON, DC",38.90861857,-77.06973504,0
11020992,58a91268b4aac30bc2089d8aa2e6c847,25,17,"2650 CATHEDRAL AVENUE NW WASHINGTON, DC",38.92813918,-77.05478484,5627
11036722,bf1b13f9e1e2c54f1d6fcf4990d3da34,25,14,"850 FLORIDA AVENUE NW WASHINGTON, DC",38.916775,-77.02348927,20256
11027042,52d5fe9948370228babf675f1297f3cf,20,19,"650 DAHLIA STREET NW WASHINGTON, DC",38.97572628,-77.02201794,0
11064022,f220ef62c8fab5f6cfc01a8654d648cf,20,17,"6110 NEVADA AVENUE NW WASHINGTON, DC",38.96993971,-77.0729749,2963
11015732,20007afcc1f37946231bf244fd9b0072,,19,"1962 BILTMORE STREET NW WASHINGTON, DC",38.922301,-77.04669,0
11016382,67795a594c671a7af4a0dbf282a837c6,20,16,"6450 BLAIR ROAD NW WASHINGTON, DC",38.96817527,-77.01418976,8118
11001202,c93fbee4b231477f615266f821254d2a,20,16,"840 12TH STREET NW WASHINGTON, DC",38.90095444,-77.02817551,15552
11003902,2d7c1b65d37e8a00a690a90365520815,20,19,"5239 39TH STREET NW WASHINGTON, DC",38.95874025,-77.077037,0
11058372,2e2496785e7f115d9ad19bb75e7bea0f,,19,"268 MADISON STREET NW WASHINGTON, DC",38.95865148,-77.01568519,0
11001202,db58a5555134587dd48abd4c7ad9a82e,20,16,"450 12TH STREET NW WASHINGTON, DC",38.8955847,-77.0281887,15552
11001702,9208d12364997c27b7adc38ed626fe60,,16,"1911 17TH STREET NW WASHINGTON, DC",38.91604905,-77.03822148,1831
11001702,3e8c494c97f6bca53d83467f557aa4a5,20,14,"567 17TH STREET NW WASHINGTON, DC",38.89649729,-77.039353,18125
11001002,5c43f60e00811f41482833e15e624c1a,,17,"550 10TH STREET NW WASHINGTON, DC",38.8924941,-77.0259044,4208
11061422,8e31776f655b228512b16e1cf7db93c2,20,17,"1050 MONROE STREET NW WASHINGTON, DC",38.93284637,-77.02806434,3710
11016382,2d2b342015d740b92928281ea95adb64,20,16,"6850 BLAIR ROAD NW WASHINGTON, DC",38.9729592,-77.01675015,8118
11002202,88265b8c4255a0bb07fca7fecceed103,20,17,"950 22ND STREET NW WASHINGTON, DC",38.9022665,-77.0487213,2742
11011572,8f35c10a0661380c8707918c6c922bca,25,16,"1310 ASPEN STREET NW WASHINGTON, DC",38.972181,-77.03151467,3148
11016382,df06e7be5e561a72f76e96cc879ba0a5,25,17,"7432 BLAIR ROAD NW WASHINGTON, DC",38.98011005,-77.02270087,8731
11003102,a8877ec9cc65e08dd57a2fbbed33bbd4,20,19,"5475 31ST STREET NW WASHINGTON, DC",38.9634033,-77.06302129,0
11009492,e5a1f6037ab4f7e53b20e5df2f8e11c8,20,17,"4550 ALBEMARLE STREET NW WASHINGTON, DC",38.94782515,-77.08963788,1448
11064142,c66d5897d2fb473a4716c548fb864b1e,20,19,"0 NEWCOMB PLACE NW WASHINGTON, DC",,,0
11046152,b33f68e1ee21ffbb9635740c177cb22d,25,19,"3515 HOLMEAD PLACE NW WASHINGTON, DC",38.93498765,-77.03051442,0
11048422,4374344638c2961144975f083594472b,20,19,"953 INGRAHAM STREET NW WASHINGTON, DC",38.95419588,-77.02651003,0
11000332,eccd5e235f6c443ebcc3d300cd06bde7,20,19,"5550 3RD PLACE NW WASHINGTON, DC",38.947493,-77.016511,0
11052062,3693a4fe86ef1025dc1a8a933b625d68,20,17,"6 KENNEDY STREET NW WASHINGTON, DC",38.956504,-77.00958629,2628
11002602,eed7de62058c48b75363782c0939c51b,20,19,"912 26TH STREET NW WASHINGTON, DC",38.90171441,-77.05485641,0
11064222,df434dfaf191c7070d681ecea0090521,20,16,"4450 NEW HAMPSHIRE AVENUE NW WASHINGTON, DC",38.94481587,-77.01811212,8934
11001302,92856b3bf9df6f511a722e02af56f10a,25,16,"5150 13TH STREET NW WASHINGTON, DC",38.95239651,-77.02980049,8253
11051352,678db2f922d2941540b7b1d736dbd598,20,16,"5450 KANSAS AVENUE NW WASHINGTON, DC",38.95609431,-77.01550308,4719
11047902,97438981585c584291d0611d87d9988a,15,17,"4550 ILLINOIS AVENUE NW WASHINGTON, DC",38.94572604,-77.02099324,0
11000502,76d245dde2eec69cd972eb8c578acdd6,20,17,"5659 5TH STREET NW WASHINGTON, DC",38.95809703,-77.019856,3065
11003802,a5e690974cc6f815af5e6a7fcde24ee8,20,19,"5050 38TH STREET NW WASHINGTON, DC",38.95509915,-77.07469702,0
11001902,e3e34eebaf64d2bf86ae3c482834fd42,,16,"1210 19TH STREET NW WASHINGTON, DC",38.906636,-77.04354969,7161
11000202,c41138badfbf68c48742cd24bc7f07b1,20,19,"5350 2ND STREET NW WASHINGTON, DC",38.95503135,-77.01369852,0
11004402,6046b8a14d35b00b5599742bd768fb48,20,19,"3955 44TH STREET NW WASHINGTON, DC",38.94010931,-77.08525609,0
11004102,b064453be032c40c67b4ae4885aa07ec,20,19,"4906 41ST STREET NW WASHINGTON, DC",38.9536751,-77.08057525,0
11068382,277000d591f53a146f03e27935d31720,20,16,"1950 P STREET NW WASHINGTON, DC",38.90956149,-77.04456192,0
