bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G11000100047012,110010047012,G11000100047034,110010047034,0.215655381,0.050086957,0.061919505,0.031971581,0.071693449,0.072557051,0.002336449,0.096638656
G11000100047012,110010047012,G11000100047042,110010047042,0.45396622,0.395478261,0.29677134,0.5008881,0.271322621,0.263897016,0.189252336,0.300840336
G11000100047012,110010047012,G11000100048021,110010048021,0.008760919,0.000137832,0.000159329,0,0,0,0,0
G11000100047021,110010047021,G11000100047021,110010047021,0.559571013,0.38845727,0.36369156,0.40754717,0.224511931,0.213562753,0.024017467,0.422413793
G11000100047021,110010047021,G11000100047022,110010047022,0.210798223,0.392896781,0.401335762,0.40754717,0.511930586,0.528340081,0.620087336,0.405172414
G11000100047021,110010047021,G11000100047023,110010047023,0.052210817,0.000662285,0.000724613,0,0.0006472,0.00301983,0.001302879,0
G11000100047021,110010047021,G11000100047024,110010047024,0.122622951,0.206329946,0.22149761,0.18490566,0.262910284,0.25406519,0.354592318,0.172413793
G11000100047021,110010047021,G11000100047025,110010047025,0.054796997,0.011653718,0.012750455,0,0,0.001012146,0,0
G11000100048011,110010048011,G11000100046002,110010046002,0.000790618,0,0,0,0,0,0,0
G11000100048011,110010048011,G11000100048011,110010048011,0.254620078,0.319178721,0.322647363,0.246753247,0.358070501,0.341059603,0.274336283,0.418530351
G11000100048011,110010048011,G11000100048012,110010048012,0.283069741,0.275314979,0.274043433,0.305194805,0.256957328,0.253311258,0.254424779,0.258785943
G11000100048011,110010048011,G11000100048013,110010048013,0.461519562,0.4055063,0.403309204,0.448051948,0.384972171,0.405629139,0.471238938,0.322683706
G11000100048021,110010048021,G11000100048021,110010048021,1,1,1,1,1,1,1,1
G11000100048022,110010048022,G11000100048022,110010048022,1,1,1,1,1,1,1,1
G11000100049011,110010049011,G11000100049011,110010049011,1,1,1,1,1,1,1,1
G11000100049012,110010049012,G11000100049012,110010049012,0.364511347,0.369878184,0.369284877,0.38,0.279591837,0.326495727,0.314285714,0.26031746
G11000100049012,110010049012,G11000100049013,110010049013,0.635488653,0.630121816,0.630715123,0.62,0.720408163,0.673504274,0.685714286,0.73968254
G11000100049021,110010049021,G11000100049021,110010049021,1,1,1,1,1,1,1,1
G11000100049022,110010049022,G11000100049022,110010049022,0.396032059,0.366595518,0.346465817,0.393103448,0.329972502,0.333896872,0.162962963,0.428571429
G11000100049022,110010049022,G11000100049023,110010049023,0.603967942,0.633404482,0.653534183,0.606896552,0.670027498,0.666103128,0.837037037,0.571428571
G11000100050011,110010050011,G11000100050011,110010050011,1,1,1,1,1,1,1,1
G11000100050012,110010050012,G11000100050012,110010050012,0.965364856,1,1,1,1,1,1,1
G11000100050012,110010050012,G11000100050042,110010050042,0.034635144,0,0,0,0,0,0,0
G11000100050021,110010050021,G11000100050041,110010050041,1,1,1,1,1,1,1,1
G11000100050022,110010050022,G11000100050031,110010050031,0.528859588,0.418011452,0.409508374,0.431924883,0.366129032,0.36499626,0.54,0.310638298
G11000100050022,110010050022,G11000100050032,110010050032,0.471140412,0.581988548,0.590491626,0.568075117,0.633870968,0.63500374,0.46,0.689361702
G11000100050023,110010050023,G11000100050031,110010050031,0.035322316,0.026166098,0.027534418,0.00729927,0.036217304,0.034220532,0.030769231,0.042194093
G11000100050023,110010050023,G11000100050042,110010050042,0.964677684,0.973833902,0.972465582,0.99270073,0.963782696,0.965779468,0.969230769,0.957805907
G11000100050024,110010050024,G11000100050043,110010050043,1,1,1,1,1,1,1,1
G11000100052011,110010052011,G11000100052031,110010052031,0.403245444,0.534325492,0.528746929,0.5375,0.537735849,0.531704479,0.226027397,0.569252078
G11000100052011,110010052011,G11000100052033,110010052033,0.596754557,0.465674508,0.471253071,0.4625,0.462264151,0.468295521,0.773972603,0.430747922
G11000100052012,110010052012,G11000100052022,110010052022,1,1,1,1,1,1,1,1
G11000100052013,110010052013,G11000100052032,110010052032,1,1,1,1,1,1,1,1
G11000100052014,110010052014,G11000100052021,110010052021,0.332643848,0.452957747,0.480840544,0.412811388,0.505628518,0.507308684,0.582417582,0.425
G11000100052014,110010052014,G11000100052023,110010052023,0.667356152,0.547042254,0.519159456,0.587188612,0.494371482,0.492691316,0.417582418,0.575
G11000100053011,110010053011,G11000100053021,110010053021,1,1,1,1,1,1,1,1
G11000100053012,110010053012,G11000100053032,110010053032,1,1,1,1,1,1,1,1
G11000100053013,110010053013,G11000100053031,110010053031,0.507883409,0.172672673,0.174144487,0.23,0.168549906,0.16362054,0.283076923,0.118046133
G11000100053013,110010053013,G11000100053033,110010053033,0.492116591,0.827327327,0.825855513,0.77,0.831450094,0.83637946,0.716923077,0.881953867
G11000100053014,110010053014,G11000100053022,110010053022,0.41153227,0.561573179,0.565649867,0.48630137,0.577464789,0.566371681,0.374045802,0.643835616
G11000100053014,110010053014,G11000100053023,110010053023,0.58846773,0.438426821,0.434350133,0.51369863,0.422535211,0.433628319,0.625954199,0.356164384
G11000100055001,110010055001,G11000100055021,110010055021,1,1,1,1,1,1,1,1
G11000100055002,110010055002,G11000100001011,110010001011,0,0,0,0,0,0,0,0
G11000100055002,110010055002,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100055002,110010055002,G11000100055031,110010055031,0.295376351,0.675750577,0.676680973,0.690322581,0.647719298,0.601469757,0.684647303,0.628844115
G11000100055002,110010055002,G11000100055032,110010055032,0.704623649,0.324249423,0.323319027,0.309677419,0.352280702,0.398530243,0.315352697,0.371155886
G11000100055003,110010055003,G11000100055011,110010055011,0.55352688,0.48255814,0.482861401,0.425287356,0.505186722,0.496420048,0.467196819,0.546637744
G11000100055003,110010055003,G11000100055012,110010055012,0.44647312,0.517441861,0.517138599,0.574712644,0.494813278,0.503579952,0.532803181,0.453362256
G11000100055004,110010055004,G11000100055022,110010055022,1,1,1,1,1,1,1,1
G11000100055005,110010055005,G11000100055023,110010055023,1,1,1,1,1,1,1,1
G11000100056001,110010056001,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100056001,110010056001,G11000100056011,110010056011,0.255202505,0.555555556,0.553846154,0.590909091,0.556505223,0.531023368,0.551020408,0.558168317
G11000100056001,110010056001,G11000100056012,110010056012,0.744797495,0.444444444,0.446153846,0.409090909,0.443494777,0.468976632,0.448979592,0.441831683
G11000100056002,110010056002,G11000100001023,110010001023,0,0,0,0,0,0,0,0
G11000100056002,110010056002,G11000100056021,110010056021,0.163427384,0.502740409,0.503297818,0.274131274,0.473477407,0.453451043,0.369250986,0.782101167
G11000100056002,110010056002,G11000100056023,110010056023,0.798140655,0.497259591,0.496702182,0.725868726,0.526522593,0.546548957,0.630749015,0.217898833
G11000100056002,110010056002,G11000109800001,110019800001,0.038431961,0,0,0,0,0,0,0
G11000100056003,110010056003,G11000100056022,110010056022,1,1,1,1,1,1,1,1
G11000100056004,110010056004,G11000100056013,110010056013,1,1,1,1,1,1,1,1
G11000100058001,110010058001,G11000100058021,110010058021,0.165481877,0.004301075,0.003355705,0,0,0,0,0
G11000100058001,110010058001,G11000100058022,110010058022,0.203937852,0.002150538,0.002237137,0,0,0,0,0
G11000100058001,110010058001,G11000100058023,110010058023,0.118160643,0.009677419,0.008948546,0,0,0,0,0
G11000100058001,110010058001,G11000100058024,110010058024,0.074224032,0.568817204,0.573825503,0.573333333,0.607692308,0.70795569,0.375545852,0.733966746
G11000100058001,110010058001,G11000100058025,110010058025,0.438195597,0.415053763,0.41163311,0.426666667,0.392307692,0.29204431,0.624454149,0.266033254
G11000100058002,110010058002,G11000100058011,110010058011,0.319543595,0.378947368,0.383259912,0.438709677,0.430172414,0.437928408,0.690949227,0.263083451
G11000100058002,110010058002,G11000100058012,110010058012,0.680456405,0.621052632,0.616740088,0.561290323,0.569827586,0.562071592,0.309050773,0.736916549
G11000100059001,110010059001,G11000100047021,110010047021,0.000105909,0,0,0,0,0,0,0
G11000100059001,110010059001,G11000100059001,110010059001,0.037504225,0.591394263,0.606585789,0.530769231,0.724885095,0.711456103,0.986206897,0.697387518
G11000100059001,110010059001,G11000100059002,110010059002,0.962389866,0.408605737,0.393414211,0.469230769,0.275114905,0.288543897,0.013793103,0.302612482
G11000100062021,110010062021,G11000100001023,110010001023,0.007474026,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100056023,110010056023,0.0002248,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100058022,110010058022,0.000626239,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000100102025,110010102025,0.000559942,0,0,0,0,0,0,0
G11000100062021,110010062021,G11000109800001,110019800001,0.991114992,1,1,1,1,1,1,1
G11000100064001,110010064001,G11000100064001,110010064001,1,1,1,1,1,1,1,1
G11000100064002,110010064002,G11000100064002,110010064002,1,1,1,1,1,1,1,1
G11000100065001,110010065001,G11000100065001,110010065001,1,1,1,1,1,1,1,1
G11000100065002,110010065002,G11000100065002,110010065002,1,1,1,1,1,1,1,1
G11000100066001,110010066001,G11000100065001,110010065001,0.007168846,0,0,0,0,0,0,0
G11000100066001,110010066001,G11000100066001,110010066001,0.556694462,0.667888947,0.670238095,0.676300578,0.670275591,0.674540682,0.666666667,0.673870334
G11000100066001,110010066001,G11000100066002,110010066002,0.436136692,0.332111053,0.329761905,0.323699422,0.329724409,0.325459318,0.333333333,0.326129666
G11000100067001,110010067001,G11000100067001,110010067001,1,1,1,1,1,1,1,1
G11000100067002,110010067002,G11000100067002,110010067002,1,1,1,1,1,1,1,1
G11000100067003,110010067003,G11000100067003,110010067003,1,1,1,1,1,1,1,1
G11000100068011,110010068011,G11000100068011,110010068011,1,1,1,1,1,1,1,1
G11000100068012,110010068012,G11000100068012,110010068012,1,1,1,1,1,1,1,1
G11000100068021,110010068021,G11000100068021,110010068021,1,1,1,1,1,1,1,1
G11000100068022,110010068022,G11000100068022,110010068022,1,1,1,1,1,1,1,1
G11000100068041,110010068041,G11000100068041,110010068041,0.999641568,1,1,1,1,1,1,1
G11000100068041,110010068041,G11000100071001,110010071001,0.000358432,0,0,0,0,0,0,0
G11000100069001,110010069001,G11000100069001,110010069001,1,1,1,1,1,1,1,1
G11000100069002,110010069002,G11000100069002,110010069002,1,1,1,1,1,1,1,1
G11000100070001,110010070001,G11000100070001,110010070001,1,1,1,1,1,1,1,1
G11000100070002,110010070002,G11000100070002,110010070002,1,1,1,1,1,1,1,1
G11000100071001,110010071001,G11000100071001,110010071001,1,1,1,1,1,1,1,1
G11000100071002,110010071002,G11000100071002,110010071002,0.505206242,0.560153994,0.498216409,0.587378641,0.507598784,0.516917293,0.246636771,0.722735675
G11000100071002,110010071002,G11000100071003,110010071003,0.494793758,0.439846006,0.501783591,0.412621359,0.492401216,0.483082707,0.753363229,0.277264325
G11000100072001,110010072001,G11000100065002,110010065002,0.007653891,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100070001,110010070001,0.017205657,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100072022,110010072022,0.237444632,0.172606925,0.178822258,0.188191882,0.182348043,0.262711864,0.098181818,0.207343413
G11000100072001,110010072001,G11000100072023,110010072023,0.208946942,0.49694501,0.510534846,0.361623616,0.498751041,0.433414044,0.003636364,0.645788337
G11000100072001,110010072001,G11000100072033,110010072033,0.093931722,0,0,0,0,0,0,0
G11000100072001,110010072001,G11000100072034,110010072034,0.434817157,0.330448065,0.310642896,0.450184502,0.318900916,0.303874092,0.898181818,0.146868251
G11000100072002,110010072002,G11000100070001,110010070001,0.003916266,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100070002,110010070002,0.006314921,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072011,110010072011,0.148035802,0,0,0,0,0.001392758,0,0
G11000100072002,110010072002,G11000100072012,110010072012,0.12949254,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072013,110010072013,0.270891846,0.044578313,0.042131351,0.153061225,0.025437202,0.029247911,0,0.026186579
G11000100072002,110010072002,G11000100072014,110010072014,0.186368197,0,0,0,0,0,0,0
G11000100072002,110010072002,G11000100072021,110010072021,0.045159768,0.406024096,0.412639405,0.326530612,0.383147854,0.366295265,0.166666667,0.389525368
G11000100072002,110010072002,G11000100072031,110010072031,0.046046452,0.308433735,0.298636927,0.336734694,0.313195549,0.286908078,0.333333333,0.312602291
G11000100072002,110010072002,G11000100072032,110010072032,0.163774209,0.240963855,0.246592317,0.183673469,0.278219396,0.316155989,0.5,0.271685761
G11000100073011,110010073011,G11000100073011,110010073011,0.237265561,0.292900833,0.306371844,0.291173201,0.292745427,0.270117986,0.090909091,0.295517212
G11000100073011,110010073011,G11000100073012,110010073012,0.223607486,0.286520584,0.257751938,0.343007916,0.343596059,0.404641776,0.636363636,0.339575531
G11000100073011,110010073011,G11000100073013,110010073013,0.539126953,0.420578582,0.435876218,0.365818883,0.363658514,0.325240238,0.272727273,0.364907258
G11000100073041,110010073041,G11000100073043,110010073043,0.11139123,0.406289843,0.379788639,0.429906542,0.43484225,0.425707547,0.173553719,0.486842105
G11000100073041,110010073041,G11000100073044,110010073044,0.880717249,0.575860604,0.605019815,0.551401869,0.547325103,0.558962264,0.826446281,0.491776316
G11000100073041,110010073041,G11000100074031,110010074031,0.000709305,0.001471294,0.001252201,0.001540701,0.0014699,0.001263629,0,0.00176243
G11000100073041,110010073041,G11000100074093,110010074093,0.007182216,0.01637826,0.013939345,0.017150888,0.016362747,0.01406656,0,0.019619149
G11000100073042,110010073042,G11000100073041,110010073041,1,1,1,1,1,1,1,1
G11000100073043,110010073043,G11000100073042,110010073042,1,1,1,1,1,1,1,1
G11000100074011,110010074011,G11000100074011,110010074011,0.977438526,1,1,1,1,1,1,1
G11000100074011,110010074011,G11000100075031,110010075031,0.014792515,0,0,0,0,0,0,0
G11000100074011,110010074011,G11000100076015,110010076015,0.007768959,0,0,0,0,0,0,0
G11000100074012,110010074012,G11000100074012,110010074012,1,1,1,1,1,1,1,1
G11000100074031,110010074031,G11000100074031,110010074031,0.381697375,0.40818468,0.414621677,0.402472528,0.42032967,0.421186441,1,0.362537764
G11000100074031,110010074031,G11000100074032,110010074032,0.618302625,0.59181532,0.585378323,0.597527473,0.57967033,0.578813559,0,0.637462236
G11000100074041,110010074041,G11000100074041,110010074041,1,1,1,1,1,1,1,1
G11000100074042,110010074042,G11000100074042,110010074042,1,1,1,1,1,1,1,1
G11000100074043,110010074043,G11000100074012,110010074012,0.003339685,0,0,0,0,0,0,0
G11000100074043,110010074043,G11000100074043,110010074043,0.996660315,1,1,1,1,1,1,1
G11000100074061,110010074061,G11000100074061,110010074061,1,1,1,1,1,1,1,1
G11000100074062,110010074062,G11000100074062,110010074062,1,1,1,1,1,1,1,1
G11000100074071,110010074071,G11000100074071,110010074071,1,1,1,1,1,1,1,1
G11000100074072,110010074072,G11000100074072,110010074072,0.555235019,0.494071146,0.52991453,0.470588235,0.508701473,0.529131986,0.734899329,0.35857461
G11000100074072,110010074072,G11000100074073,110010074073,0.444764981,0.505928854,0.47008547,0.529411765,0.491298527,0.470868014,0.265100671,0.64142539
G11000100074081,110010074081,G11000100074071,110010074071,0.010699407,0,0,0,0,0,0,0
G11000100074081,110010074081,G11000100074081,110010074081,0.423812889,0.385121791,0.379871732,0.433186491,0.437796771,0.443099274,0.104477612,0.486398259
G11000100074081,110010074081,G11000100074082,110010074082,0.565487704,0.614878209,0.620128268,0.56681351,0.562203229,0.556900726,0.895522388,0.513601741
G11000100074091,110010074091,G11000100074091,110010074091,1,1,1,1,1,1,1,1
G11000100074092,110010074092,G11000100074092,110010074092,1,1,1,1,1,1,1,1
G11000100074093,110010074093,G11000100074093,110010074093,1,1,1,1,1,1,1,1
G11000100075021,110010075021,G11000100075021,110010075021,1,1,1,1,1,1,1,1
G11000100075022,110010075022,G11000100075022,110010075022,0.375356179,0.223415682,0.21460177,0.226044226,0.212195122,0.220954357,0.044117647,0.295620438
G11000100075022,110010075022,G11000100075023,110010075023,0.624643821,0.776584318,0.78539823,0.773955774,0.787804878,0.779045643,0.955882353,0.704379562
G11000100075031,110010075031,G11000100075031,110010075031,1,1,1,1,1,1,1,1
G11000100075032,110010075032,G11000100075032,110010075032,1,1,1,1,1,1,1,1
G11000100075041,110010075041,G11000100075021,110010075021,0.040783712,0,0,0,0,0,0,0
G11000100075041,110010075041,G11000100075041,110010075041,0.814740236,0.714810282,0.679782082,0.719449226,0.68123138,0.628806584,0.691964286,0.67816092
G11000100075041,110010075041,G11000100075042,110010075042,0.144476052,0.285189719,0.320217918,0.280550775,0.31876862,0.371193416,0.308035714,0.321839081
G11000100076011,110010076011,G11000100076011,110010076011,1,1,1,1,1,1,1,1
G11000100076012,110010076012,G11000100076011,110010076011,0.007061883,0,0,0,0,0,0,0
G11000100076012,110010076012,G11000100076012,110010076012,0.992938117,1,1,1,1,1,1,1
G11000100076013,110010076013,G11000100076013,110010076013,1,1,1,1,1,1,1,1
G11000100076014,110010076014,G11000100076014,110010076014,1,1,1,1,1,1,1,1
G11000100076015,110010076015,G11000100076015,110010076015,1,1,1,1,1,1,1,1
G11000100076031,110010076031,G11000100076031,110010076031,1,1,1,1,1,1,1,1
G11000100076032,110010076032,G11000100076032,110010076032,1,1,1,1,1,1,1,1
G11000100076033,110010076033,G11000100076033,110010076033,1,1,1,1,1,1,1,1
G11000100076034,110010076034,G11000100076034,110010076034,1,1,1,1,1,1,1,1
G11000100076041,110010076041,G11000100076041,110010076041,1,1,1,1,1,1,1,1
G11000100076042,110010076042,G11000100076043,110010076043,0.277130817,0.413367943,0.407874016,0.394607843,0.451754386,0.449295775,0.093333333,0.886731392
G11000100076042,110010076042,G11000100076044,110010076044,0.722869184,0.586632057,0.592125984,0.605392157,0.548245614,0.550704225,0.906666667,0.113268608
G11000100076043,110010076043,G11000100076042,110010076042,1,1,1,1,1,1,1,1
G11000100076051,110010076051,G11000100076051,110010076051,1,1,1,1,1,1,1,1
G11000100076052,110010076052,G11000100076053,110010076053,0.185396009,0.100251889,0.09993831,0.122302158,0.088408644,0.085814361,0,0.09375
G11000100076052,110010076052,G11000100076054,110010076054,0.814603991,0.899748111,0.90006169,0.877697842,0.911591356,0.914185639,1,0.90625
G11000100076053,110010076053,G11000100076052,110010076052,1,1,1,1,1,1,1,1
G11000100077031,110010077031,G11000100077031,110010077031,1,1,1,1,1,1,1,1
G11000100077032,110010077032,G11000100077032,110010077032,1,1,1,1,1,1,1,1
G11000100077033,110010077033,G11000100077033,110010077033,1,1,1,1,1,1,1,1
G11000100077034,110010077034,G11000100077032,110010077032,0.007747634,0.00199424,0.001858569,0.002259209,0.001576652,0.001288867,0.004894953,0.001026016
G11000100077034,110010077034,G11000100077034,110010077034,0.992252366,0.99800576,0.998141431,0.997740791,0.998423349,0.998711133,0.995105047,0.998973984
G11000100077071,110010077071,G11000100077072,110010077072,0.511251166,0.409605216,0.445566431,0.37622873,0.439725146,0.424940491,0.719078631,0.327899356
G11000100077071,110010077071,G11000100077073,110010077073,0.488748834,0.590394784,0.554433569,0.62377127,0.560274854,0.575059509,0.280921369,0.672100644
G11000100077072,110010077072,G11000100077071,110010077071,1,1,1,1,1,1,1,1
G11000100077081,110010077081,G11000100077081,110010077081,1,1,1,1,1,1,1,1
G11000100077082,110010077082,G11000100077082,110010077082,1,1,1,1,1,1,1,1
G11000100077091,110010077091,G11000100077082,110010077082,0.001035815,0,0,0,0,0,0,0
G11000100077091,110010077091,G11000100077091,110010077091,0.998964185,1,1,1,1,1,1,1
G11000100077092,110010077092,G11000100077092,110010077092,1,1,1,1,1,1,1,1
G11000100078031,110010078031,G11000100078031,110010078031,1,1,1,1,1,1,1,1
G11000100078032,110010078032,G11000100078032,110010078032,1,1,1,1,1,1,1,1
G11000100078033,110010078033,G11000100078033,110010078033,1,1,1,1,1,1,1,1
G11000100078034,110010078034,G11000100078034,110010078034,1,1,1,1,1,1,1,1
G11000100078041,110010078041,G11000100078041,110010078041,1,1,1,1,1,1,1,1
G11000100078042,110010078042,G11000100078042,110010078042,1,1,1,1,1,1,1,1
G11000100078043,110010078043,G11000100078043,110010078043,1,1,1,1,1,1,1,1
G11000100078061,110010078061,G11000100078061,110010078061,1,1,1,1,1,1,1,1
G11000100078062,110010078062,G11000100078062,110010078062,1,1,1,1,1,1,1,1
G11000100078071,110010078071,G11000100078071,110010078071,0.995602746,1,1,1,1,1,1,1
G11000100078071,110010078071,G11000100078082,110010078082,0.004397254,0,0,0,0,0,0,0
G11000100078072,110010078072,G11000100078072,110010078072,1,1,1,1,1,1,1,1
G11000100078081,110010078081,G11000100078081,110010078081,1,1,1,1,1,1,1,1
G11000100078082,110010078082,G11000100078082,110010078082,1,1,1,1,1,1,1,1
G11000100078083,110010078083,G11000100078083,110010078083,1,1,1,1,1,1,1,1
G11000100078091,110010078091,G11000100078091,110010078091,1,1,1,1,1,1,1,1
G11000100078092,110010078092,G11000100078092,110010078092,1,1,1,1,1,1,1,1
G11000100079011,110010079011,G11000100079011,110010079011,1,1,1,1,1,1,1,1
G11000100079012,110010079012,G11000100079012,110010079012,1,1,1,1,1,1,1,1
G11000100079013,110010079013,G11000100079013,110010079013,1,1,1,1,1,1,1,1
G11000100079014,110010079014,G11000100079014,110010079014,1,1,1,1,1,1,1,1
G11000100079031,110010079031,G11000100079031,110010079031,1,1,1,1,1,1,1,1
G11000100080011,110010080011,G11000100080011,110010080011,1,1,1,1,1,1,1,1
G11000100080012,110010080012,G11000100080012,110010080012,1,1,1,1,1,1,1,1
G11000100080013,110010080013,G11000100080013,110010080013,1,1,1,1,1,1,1,1
G11000100080021,110010080021,G11000100080021,110010080021,1,1,1,1,1,1,1,1
G11000100080022,110010080022,G11000100080022,110010080022,1,1,1,1,1,1,1,1
G11000100081001,110010081001,G11000100081001,110010081001,1,1,1,1,1,1,1,1
G11000100081002,110010081002,G11000100081002,110010081002,1,1,1,1,1,1,1,1
G11000100081003,110010081003,G11000100081003,110010081003,1,1,1,1,1,1,1,1
G11000100082001,110010082001,G11000100082001,110010082001,1,1,1,1,1,1,1,1
G11000100082002,110010082002,G11000100082002,110010082002,0.248001311,0.330175272,0.331440372,0.317725753,0.353327085,0.37329932,0.29528536,0.388554217
G11000100082002,110010082002,G11000100082003,110010082003,0.268054129,0.32022738,0.304594734,0.414715719,0.299906279,0.282312925,0.357320099,0.265060241
G11000100082002,110010082002,G11000100082004,110010082004,0.48394456,0.349597347,0.363964894,0.267558528,0.346766635,0.344387755,0.347394541,0.346385542
G11000100083011,110010083011,G11000100083011,110010083011,1,1,1,1,1,1,1,1
G11000100083012,110010083012,G11000100083012,110010083012,1,1,1,1,1,1,1,1
G11000100083021,110010083021,G11000100083021,110010083021,0.342204216,0.414777879,0.404639175,0.462311558,0.419254658,0.416666667,0.466911765,0.357819905
G11000100083021,110010083021,G11000100083022,110010083022,0.369089007,0.288304624,0.295360825,0.281407035,0.30641822,0.312984496,0.270220588,0.353080569
G11000100083021,110010083021,G11000100083023,110010083023,0.288706778,0.296917498,0.3,0.256281407,0.274327122,0.270348837,0.262867647,0.289099526
G11000100084021,110010084021,G11000100084021,110010084021,1,1,1,1,1,1,1,1
G11000100084022,110010084022,G11000100084022,110010084022,1,1,1,1,1,1,1,1
G11000100084101,110010084101,G11000100084101,110010084101,1,1,1,1,1,1,1,1
G11000100087011,110010087011,G11000100087011,110010087011,1,1,1,1,1,1,1,1
G11000100087012,110010087012,G11000100087012,110010087012,1,1,1,1,1,1,1,1
G11000100087021,110010087021,G11000100087021,110010087021,1,1,1,1,1,1,1,1
G11000100087022,110010087022,G11000100087022,110010087022,0.194684605,0.090073529,0.089715536,0.09375,0.07421875,0.058139535,0.130434783,0.028368794
G11000100087022,110010087022,G11000100087023,110010087023,0.805315395,0.909926471,0.910284464,0.90625,0.92578125,0.941860465,0.869565217,0.971631206
G11000100088021,110010088021,G11000100088021,110010088021,1,1,1,1,1,1,1,1
G11000100088022,110010088022,G11000100088022,110010088022,1,1,1,1,1,1,1,1
G11000100088023,110010088023,G11000100088023,110010088023,1,1,1,1,1,1,1,1
G11000100088024,110010088024,G11000100088024,110010088024,1,1,1,1,1,1,1,1
G11000100088031,110010088031,G11000100088031,110010088031,0.321620243,0.421207658,0.36629608,0.706896552,0.696832579,0.727124183,0.661016949,0.70234987
G11000100088031,110010088031,G11000100088032,110010088032,0.678379757,0.578792342,0.63370392,0.293103448,0.303167421,0.272875817,0.338983051,0.297650131
G11000100088041,110010088041,G11000100088041,110010088041,1,1,1,1,1,1,1,1
G11000100088042,110010088042,G11000100088042,110010088042,1,1,1,1,1,1,1,1
G11000100089031,110010089031,G11000100089032,110010089032,0.523550579,0.725888325,0.709134615,0.723756906,0.708563536,0.67967853,0.785234899,0.654929578
G11000100089031,110010089031,G11000100089033,110010089033,0.473858052,0.274111675,0.290865385,0.276243094,0.291436464,0.32032147,0.214765101,0.345070423
G11000100089031,110010089031,G11000100089041,110010089041,0.002591369,0,0,0,0,0,0,0
G11000100089032,110010089032,G11000100089031,110010089031,1,1,1,1,1,1,1,1
G11000100089041,110010089041,G11000100089042,110010089042,0.307008527,0.52012116,0.528888889,0.512524085,0.514678899,0.531707317,0.905660377,0.494696239
G11000100089041,110010089041,G11000100089043,110010089043,0.692991473,0.47987884,0.471111111,0.487475915,0.485321101,0.468292683,0.094339623,0.505303761
G11000100089042,110010089042,G11000100089041,110010089041,1,1,1,1,1,1,1,1
G11000100090001,110010090001,G11000100090001,110010090001,0.002532411,0,0,0,0,0,0,0
G11000100090001,110010090001,G11000100090002,110010090002,0.56734102,0.365159129,0.368022706,0.412280702,0.364351245,0.362025317,0,0.481802426
G11000100090001,110010090001,G11000100090003,110010090003,0.43012657,0.634840871,0.631977294,0.587719298,0.635648755,0.637974684,1,0.518197574
G11000100090002,110010090002,G11000100090001,110010090001,1,1,1,1,1,1,1,1
G11000100091021,110010091021,G11000100091021,110010091021,0.999573041,0.998644271,0.998807127,0.998521925,0.999015053,0.999096732,0.998603432,0.999628397
G11000100091021,110010091021,G11000100091022,110010091022,0.000426959,0.001355729,0.001192873,0.001478075,0.000984947,0.000903268,0.001396568,0.000371603
G11000100091022,110010091022,G11000100091023,110010091023,0.536301165,0.918463966,0.910087719,0.91198044,0.930517711,0.931198102,0.884057971,0.958515284
G11000100091022,110010091022,G11000100091024,110010091024,0.463698835,0.081536034,0.089912281,0.08801956,0.069482289,0.068801898,0.115942029,0.041484716
G11000100091023,110010091023,G11000100091022,110010091022,1,1,1,1,1,1,1,1
G11000100092011,110010092011,G11000100092011,110010092011,0.22578419,0.236336032,0.216154721,0.37295082,0.354385965,0.360258481,0.323943662,0.37254902
G11000100092011,110010092011,G11000100092012,110010092012,0.76876442,0.763663968,0.783845279,0.62704918,0.645614035,0.639741519,0.676056338,0.62745098
G11000100092011,110010092011,G11000100093012,110010093012,0.00545139,0,0,0,0,0,0,0
G11000100092031,110010092031,G11000100092031,110010092031,1,1,1,1,1,1,1,1
G11000100092032,110010092032,G11000100092032,110010092032,1,1,1,1,1,1,1,1
G11000100092041,110010092041,G11000100092041,110010092041,1,1,1,1,1,1,1,1
G11000100092042,110010092042,G11000100092042,110010092042,1,1,1,1,1,1,1,1
G11000100093011,110010093011,G11000100093011,110010093011,1,1,1,1,1,1,1,1
G11000100093012,110010093012,G11000100093012,110010093012,1,1,1,1,1,1,1,1
G11000100093013,110010093013,G11000100093013,110010093013,1,1,1,1,1,1,1,1
G11000100093014,110010093014,G11000100093014,110010093014,1,1,1,1,1,1,1,1
G11000100093021,110010093021,G11000100093021,110010093021,1,1,1,1,1,1,1,1
G11000100094001,110010094001,G11000100094001,110010094001,1,1,1,1,1,1,1,1
G11000100094002,110010094002,G11000100094002,110010094002,1,1,1,1,1,1,1,1
